Time [s],Dn,Dp,out_en
0.293480110,0,0,1
0.293480120,1,0,1
0.293480270,1,1,1
0.293480280,0,1,1
0.293480360,0,0,1
0.293480370,1,0,1
0.293480440,0,1,1
0.293480520,1,1,1
0.293480530,1,0,1
0.293480610,0,1,1
0.293480690,1,0,1
0.293480770,1,1,1
0.293480780,0,1,1
0.293480860,0,0,1
0.293480870,1,0,1
0.293480940,0,1,1
0.293481020,1,1,1
0.293481030,1,0,1
0.293481110,0,1,1
0.293481190,1,0,1
0.293481270,1,1,1
0.293481280,0,1,1
0.293481360,0,0,1
0.293481370,1,0,1
0.293481440,0,1,1
0.293481520,1,1,1
0.293481530,1,0,1
0.293481610,0,1,1
0.293481690,1,0,1
0.293481770,1,1,1
0.293481780,0,1,1
0.293481860,0,0,1
0.293481870,1,0,1
0.293481940,0,1,1
0.293482020,1,1,1
0.293482030,1,0,1
0.293482110,0,1,1
0.293482190,1,0,1
0.293482270,1,1,1
0.293482280,0,1,1
0.293482440,1,0,1
0.293482520,1,1,1
0.293482530,0,1,1
0.293482610,0,0,1
0.293482620,1,0,1
0.293482690,0,1,1
0.293482770,1,1,1
0.293482780,1,0,1
0.293482860,0,1,1
0.293482940,1,0,1
0.293483020,1,1,1
0.293483030,0,1,1
0.293483190,1,0,1
0.293483270,1,1,1
0.293483280,0,1,1
0.293483360,0,0,1
0.293483370,1,0,1
0.293483770,1,1,1
0.293483780,0,1,1
0.293483860,0,0,1
0.293483870,1,0,1
0.293484110,0,0,1
0.293484270,0,1,1
0.293484380,0,1,0
0.293484870,1,0,0
0.293484950,0,1,0
0.293485040,1,0,0
0.293485120,0,1,0
0.293485200,1,0,0
0.293485290,0,1,0
0.293485370,1,0,0
0.293485540,0,1,0
0.293485700,1,0,0
0.293485790,0,1,0
0.293485950,1,0,0
0.293486200,0,0,0
0.293486370,0,1,0
0.294468950,1,0,0
0.294469030,0,1,0
0.294469120,1,0,0
0.294469200,0,1,0
0.294469280,1,0,0
0.294469370,0,1,0
0.294469450,1,0,0
0.294469700,0,1,0
0.294469870,1,0,0
0.294469950,0,1,0
0.294470120,1,0,0
0.294470450,0,1,0
0.294470620,1,0,0
0.294471200,0,1,0
0.294471450,1,0,0
0.294471530,0,1,0
0.294471700,0,0,0
0.294471870,0,1,0
0.294473030,1,0,0
0.294473120,0,1,0
0.294473200,1,0,0
0.294473280,0,1,0
0.294473370,1,0,0
0.294473450,0,1,0
0.294473530,1,0,0
0.294473780,0,1,0
0.294473870,1,0,0
0.294474030,0,1,0
0.294474280,1,0,0
0.294474450,0,1,0
0.294474530,1,0,0
0.294474620,0,1,0
0.294474700,1,0,0
0.294474780,0,1,0
0.294474950,1,0,0
0.294475030,0,1,0
0.294475120,1,0,0
0.294475200,0,1,0
0.294475280,1,0,0
0.294475530,0,1,0
0.294475700,0,0,0
0.294475870,0,1,0
0.294476090,0,1,1
0.294476110,1,0,1
0.294476190,0,1,1
0.294476280,0,0,1
0.294476290,1,0,1
0.294476360,0,1,1
0.294476440,1,0,1
0.294476530,0,1,1
0.294476610,1,0,1
0.294476940,0,1,1
0.294477030,0,0,1
0.294477040,1,0,1
0.294477110,0,1,1
0.294477190,1,0,1
0.294477610,0,1,1
0.294477690,1,0,1
0.294477780,0,1,1
0.294477860,1,0,1
0.294477940,0,1,1
0.294478110,1,0,1
0.294478190,0,1,1
0.294478360,1,0,1
0.294478440,0,1,1
0.294478530,0,0,1
0.294478540,1,0,1
0.294478610,0,1,1
0.294478690,1,0,1
0.294478780,0,1,1
0.294478940,1,0,1
0.294479110,0,1,1
0.294479280,1,0,1
0.294479360,0,1,1
0.294479690,1,0,1
0.294479860,0,1,1
0.294480030,1,0,1
0.294480110,0,1,1
0.294480190,1,0,1
0.294480280,0,1,1
0.294480360,1,0,1
0.294480440,0,1,1
0.294480530,0,0,1
0.294480540,1,0,1
0.294480610,0,1,1
0.294480690,1,0,1
0.294480860,0,1,1
0.294480940,1,0,1
0.294481030,0,1,1
0.294481110,1,0,1
0.294481190,0,1,1
0.294481280,0,0,1
0.294481290,1,0,1
0.294481360,0,1,1
0.294481440,1,0,1
